충전소,grid_id
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
송산대방1차아파트,830.0
스타벅스화성향남발안DT,1165.0
스타벅스화성향남발안DT,1165.0
이마트T동탄점,
이마트T동탄점,
이마트T동탄점,
이마트T동탄점,
이마트T동탄점,
이마트T동탄점,
이마트T동탄점E,
이마트T동탄점E,
이마트T동탄점E,
이마트T동탄점E,
이마트T동탄점E,
이마트T동탄점E,
이마트T동탄점E,
이마트동탄점,1557.0
이마트동탄점,1557.0
이마트동탄점,1557.0
이마트동탄점,1557.0
이마트동탄점,1557.0
이마트동탄점,1557.0
이마트동탄점,1557.0
이마트동탄점,1557.0
이마트동탄점E,1557.0
이마트동탄점E,1557.0
이마트동탄점E,1557.0
이마트화성봉담점E,1239.0
이마트화성봉담점E,1239.0
이마트화성봉담점E,1239.0
이마트화성봉담점E,1239.0
이마트화성봉담점E,1239.0
이마트화성봉담점E,1239.0
이마트화성봉담점E,1239.0
캠퍼스타운,1270.0
캠퍼스타운,1270.0
화성동탄A블록물류센터,
화성동탄A블록물류센터,
화성동탄A블록물류센터,
화성동탄B블록물류센터,
화성동탄B블록물류센터,
화성동탄B블록물류센터,
화성동탄B블록물류센터,
화성동탄B블록물류센터,
수원대학교1 급속충전소,1269.0
수원대학교1 급속충전소,1269.0
수원대학교1 충전소,1269.0
수원대학교1 충전소,1269.0
수원대학교1 충전소,1269.0
수원대학교1 충전소,1269.0
수원대학교1 충전소,1269.0
수원대학교1 충전소,1269.0
수원대학교2 급속충전소,1269.0
수원대학교2 급속충전소,1269.0
수원대학교2 충전소,1269.0
수원대학교2 충전소,1269.0
수원대학교2 충전소,1269.0
수원대학교2 충전소,1269.0
수원대학교2 충전소,1269.0
수원대학교2 충전소,1269.0
수원대학교3 급속충전소,1269.0
수원대학교3 급속충전소,1269.0
수원대학교3 충전소,1269.0
수원대학교3 충전소,1269.0
수원대학교3 충전소,1269.0
수원대학교4 충전소,1269.0
수원대학교4 충전소,1269.0
수원대학교4 충전소,1269.0
수원대학교4 충전소,1269.0
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
SE모빌리티 동탄차고지,
래미안1차아파트 102동 1,
래미안1차아파트 102동 1,
래미안1차아파트 102동 1,
래미안1차아파트 102동 2,
래미안1차아파트 102동 2,
래미안1차아파트 103동,
래미안1차아파트 103동,
래미안1차아파트 103동,
래미안1차아파트 103동,
래미안1차아파트 103동,
래미안1차아파트 106동,
래미안1차아파트 106동,
래미안1차아파트 106동,
래미안1차아파트 106동,
래미안1차아파트 106동,
래미안1차아파트 106동,
래미안1차아파트 106동,
래미안1차아파트 107동,
래미안1차아파트 107동,
래미안1차아파트 107동,
래미안1차아파트 108동,
래미안1차아파트 108동,
래미안1차아파트 108동,
래미안1차아파트 108동,
래미안1차아파트 108동,
래미안1차아파트 108동,
래미안1차아파트 109동,
래미안1차아파트 109동,
래미안1차아파트 109동,
래미안1차아파트 109동,
래미안1차아파트 109동,
래미안1차아파트 109동,
삼성엔지니어링 기흥화성,1526.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 기흥 K1후문,1527.0
삼성전자DS 화성 H1외부주차장,
삼성전자DS 화성 H1외부주차장,
삼성전자DS 화성 H1외부주차장,
삼성전자DS 화성 H1외부주차장,
삼성전자DS 화성 H1외부주차장,
삼성전자DS 화성 H1외부주차장,
삼성전자DS 화성 H1외부주차장,
삼성전자DS 화성 H1외부주차장,
신영통현대아파트4단지 401동,
신영통현대아파트4단지 401동,
신영통현대아파트4단지 401동,
신영통현대아파트4단지 403동,
신영통현대아파트4단지 403동,
신영통현대아파트4단지 405동,
신영통현대아파트4단지 405동,
동탄 오션타워(B1F),
동탄 오션타워(B1F),
동탄 종산타워(B2F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(1F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
동탄 테크윙 본사(2F),
화성 동탄스타디움블루(B1F),1588.0
화성 동탄스타디움블루(B1F),1588.0
화성 동탄스타디움블루(B1F),1588.0
화성 동탄스타프라자(B3F),1524.0
화성 동탄스타프라자(B3F),1524.0
화성 동탄스타프라자(B3F),1524.0
화성 청광플러스원아파트,
화성 청광플러스원아파트,
화성 청광플러스원아파트,
화성 청광플러스원아파트,
화성 청광플러스원아파트,
화성 청광플러스원아파트,
화성 청광플러스원아파트,
화성 청광플러스원아파트,
워터 버거킹 화성능동,1493.0
워터 버거킹 화성능동,1493.0
동탄에비뉴223 프라자,
마이더스오토샵,
하비비무인텔,
하비비무인텔,
화성시 실내배드민턴장,
(주)우진,
두오즈까페,
두오즈까페,
우진inc,
GS편의점 마도명륜점,
GS편의점 마도명륜점,
경기 향남 오색마을 부영아파트 11단지,1066.0
경기 향남 오색마을 부영아파트 11단지,1066.0
경기 향남 오색마을 부영아파트 11단지,1066.0
경기 향남 오색마을 부영아파트 11단지,1066.0
경기 향남 오색마을 부영아파트 11단지,1066.0
경기 향남 오색마을 부영아파트 11단지,1066.0
경기 향남 오색마을 부영아파트 11단지,1066.0
경기 향남 오색마을 부영아파트 11단지,1066.0
경기 향남 오색마을 부영아파트 11단지,1066.0
경기 향남 오색마을 부영아파트 9단지,1066.0
경기 향남 오색마을 부영아파트 9단지,1066.0
경기 향남 오색마을 부영아파트 9단지,1066.0
경기 향남 오색마을 부영아파트 9단지,1066.0
경기 향남 오색마을 부영아파트 9단지,1066.0
경기 향남 오색마을 부영아파트 9단지,1066.0
경기 향남 오색마을 부영아파트 9단지,1066.0
경기 향남 오색마을 부영아파트 9단지,1066.0
경기 향남 오색마을 부영아파트 9단지,1066.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남서봉마을사랑으로부영6단지아파트,1067.0
경기 향남언덕마을사랑으로부영17단지아파트,1001.0
